county,max_temp,anomaly,rank,mean,month,state,total_workers_h2a
Pondera,81.9,3.1,106,78.8,July,Montana,17
Powder River,87.1,0.9,67,86.2,July,Montana,3
Powell,78.7,3.5,110,75.2,July,Montana,13
Prairie,86,0.2,61,85.8,July,Montana,18
Ravalli,79.7,4.1,115,75.6,July,Montana,46
Richland,84.8,0.5,69,84.3,July,Montana,106
Roosevelt,84,0.7,69,83.3,July,Montana,48
Rosebud,87,0.8,67,86.2,July,Montana,17
Sanders,83.2,4.5,117,78.7,July,Montana,13
Sheridan,82.8,1.1,78,81.7,July,Montana,63
Stillwater,80.6,-0.2,52,80.8,July,Montana,28
Sweet Grass,79.4,1.1,71,78.3,July,Montana,22
Teton,80.8,2.6,96,78.2,July,Montana,26
Toole,84.1,3.3,110,80.8,July,Montana,14
Treasure,86.7,0.2,59,86.5,July,Montana,9
Valley,84.6,1.7,86,82.9,July,Montana,54
Wheatland,80.3,0.7,62,79.6,July,Montana,12
Wibaux,84.1,-0.4,52,84.5,July,Montana,13
Yellowstone,86.2,0.5,57,85.7,July,Montana,69
Golden Valley,83.6,-0.5,53,84.1,July,Montana,17
Richland,81.4,-1.8,42,83.2,July,Montana,106
Sheridan,78,-3.7,18,81.7,July,Montana,63
Custer,82.3,-1.8,36,84.1,July,Montana,54
Lake,81.4,-3.5,23,84.9,July,Montana,27
Lincoln,82.1,-3.9,17,86,July,Montana,1
Carbon,86.3,4.5,124,81.8,July,Montana,1
Garfield,90.5,6.9,129,83.6,July,Montana,8
Big Horn,82.3,0.9,64,81.4,July,Montana,49
Carbon,82,2.3,97,79.7,July,Montana,1
Fremont,80.4,0.8,66,79.6,July,Montana,4
Lincoln,81.2,4.2,118,77,July,Montana,1
Park,76,1.3,79,74.7,July,Montana,13
Sheridan,80.2,-0.5,54,80.7,July,Montana,63
Teton,74.4,2.4,99,72,July,Montana,26
Custer,76,3,114,73,August,Montana,54
Fremont,80.9,2.6,110,78.3,August,Montana,4
Garfield,78.4,2.8,112,75.6,August,Montana,8
Jefferson,79.5,0.6,73,78.9,August,Montana,15
Lake,68.6,3.6,125,65,August,Montana,27
Lincoln,89.1,3.1,110,86,August,Montana,1
Park,72.6,2.5,115,70.1,August,Montana,13
Phillips,89.3,2.1,95,87.2,August,Montana,20
Beaverhead,72,0,59,72,August,Montana,185
Big Horn,83.5,0.8,76,82.7,August,Montana,49
Blaine,83.9,3.3,102,80.6,August,Montana,61
Broadwater,78.9,0.9,75,78,August,Montana,27
Carbon,78.6,1.7,87,76.9,August,Montana,1
Carter,85.1,1.6,83,83.5,August,Montana,29
Cascade,81.4,2.3,85,79.1,August,Montana,4
Chouteau,85.2,3.1,99,82.1,August,Montana,15
Custer,86.9,1.6,83,85.3,August,Montana,54
Daniels,82.7,2.8,102,79.9,August,Montana,55
Dawson,85.5,2,92,83.5,August,Montana,22
Deer Lodge,72.3,1.3,76,71,August,Montana,4
Fallon,83.9,0.3,68,83.6,August,Montana,8
Fergus,82.6,1.8,86,80.8,August,Montana,10
Flathead,76.8,4.1,104,72.7,August,Montana,73
Gallatin,74.9,-0.3,56,75.2,August,Montana,72
Garfield,87.1,3.6,107,83.5,August,Montana,8
Glacier,77.1,4.9,110,72.2,August,Montana,16
Golden Valley,82.1,0.3,67,81.8,August,Montana,17
Granite,74.1,1.8,85,72.3,August,Montana,3
Hill,84.2,3.4,104,80.8,August,Montana,65
Jefferson,76.7,2.2,88,74.5,August,Montana,15
Judith Basin,77.9,1,74,76.9,August,Montana,6
Lake,80.6,2.9,95,77.7,August,Montana,27
Lewis and Clark,76.7,1.8,83,74.9,August,Montana,21
Liberty,82.5,2.5,93,80,August,Montana,35
Lincoln,78.9,3.8,105,75.1,August,Montana,1
McCone,86.6,3,100,83.6,August,Montana,25
Madison,73.3,-0.6,49,73.9,August,Montana,53
Meagher,75.6,1.6,80,74,August,Montana,6
Missoula,77.5,1.7,82,75.8,August,Montana,17
Park,74.1,0.4,67,73.7,August,Montana,13
Phillips,86,3.3,102,82.7,August,Montana,20
Pondera,80.2,2.7,93,77.5,August,Montana,17
Powder River,87.1,2.2,89,84.9,August,Montana,3
Powell,75.4,1.6,82,73.8,August,Montana,13
Prairie,86,1.7,86,84.3,August,Montana,18
Ravalli,75.5,1.7,83,73.8,August,Montana,46
Richland,85.2,2.1,94,83.1,August,Montana,106
