national_risk_index_id,state,county_name,population_(2020),building_value_($),agriculture_value_($),area_(sq_mi),national_risk_index_-_value_-_composite,national_risk_index_-_score_-_composite,national_risk_index_-_rating_-_composite,national_risk_index_-_state_percentile_-_composite,expected_annual_loss_-_score_-_composite,expected_annual_loss_-_rating_-_composite,expected_annual_loss_-_state_percentile_-_composite,expected_annual_loss_-_total_-_composite,expected_annual_loss_-_building_value_-_composite,wildfire_-_number_of_events,wildfire_-_annualized_frequency,wildfire_-_exposure_-_impacted_area_(sq_mi),wildfire_-_exposure_-_building_value,wildfire_-_exposure_-_population,wildfire_-_exposure_-_population_equivalence,wildfire_-_exposure_-_agriculture_value,wildfire_-_exposure_-_total,wildfire_-_historic_loss_ratio_-_buildings,wildfire_-_historic_loss_ratio_-_population,wildfire_-_historic_loss_ratio_-_agriculture,wildfire_-_historic_loss_ratio_-_total_rating,wildfire_-_expected_annual_loss_-_building_value,wildfire_-_expected_annual_loss_-_population,wildfire_-_expected_annual_loss_-_population_equivalence,wildfire_-_expected_annual_loss_-_agriculture_value,wildfire_-_expected_annual_loss_-_total,wildfire_-_expected_annual_loss_score,wildfire_-_expected_annual_loss_rating,wildfire_-_expected_annual_loss_rate_-_building,wildfire_-_expected_annual_loss_rate_-_population,wildfire_-_expected_annual_loss_rate_-_agriculture,wildfire_-_expected_annual_loss_rate_-_national_percentile,wildfire_-_hazard_type_risk_index_value,wildfire_-_hazard_type_risk_index_score,wildfire_-_hazard_type_risk_index_rating,total_workers
C08065,Colorado,Lake,7405,1334554239,0,387.7876973,881338.3258,4.072542157,Very Low,9.375,3.868771278,Very Low,12.5,695511.6993,128475.5592,NA,1.15e-5,0.77154178,274489980.1,1732.980454,20102573261,0,20377063241,0.4,5.18e-6,3.16e-5,Relatively Low,1250.549261,9.67e-8,1.121680082,0,1251.670941,3.086223353,Very Low,9.37e-7,1.31e-11,0,18.39007318,1438.973425,2.863506204,Very Low,24
C08067,Colorado,La Plata,55533,16531577408,27926585,1716.740164,10669401.59,66.33789373,Relatively Low,81.25,67.31662024,Relatively Low,82.8125,9985825.941,8883511.444,NA,0.001733741,75.20214013,8375278514,26796.97222,311000000000,13427777.18,319000000000,0.4,3.18e-6,9.05e-5,Relatively Moderate,7070245.496,1.95467e-4,2267.412498,1.73986434,7072514.649,97.1364938,Relatively High,4.27681e-4,3.52e-9,6.23e-8,94.59115495,7514862.841,97.07286032,Relatively High,7
C08069,Colorado,Larimer,358792,64104917711,172863562,2660.579478,72217812.96,93.54120267,Relatively Moderate,93.75,94.42896936,Relatively Moderate,96.875,75911600.5,57532338.16,NA,0.003263953,31.71143126,6751924902,32876.73143,381000000000,27694086.76,388000000000,0.4,6.77e-5,0.013579329,Relatively Low,8243693.754,0.006071242,70426.40678,818.0629557,8314938.224,97.55011136,Relatively High,1.28597e-4,1.69e-8,4.73e-6,83.51893096,6594350.642,96.6910595,Relatively Moderate,45
C08071,Colorado,Las Animas,14491,2718173391,29648336,4823.825221,2834168.91,21.82628062,Very Low,45.3125,18.91055401,Very Low,46.875,2176678.298,1545801.355,NA,0.002582072,15.14476171,870206016.4,4139.034218,48012796934,17823617.56,48900826568,0.4,1.57e-5,0.003260597,Relatively Moderate,1115355.304,1.78513e-4,2070.75166,315.5064622,1117741.562,87.71874006,Relatively Moderate,4.10333e-4,1.23e-8,1.06e-5,94.20935412,1394910.58,88.10054088,Relatively Moderate,1
C08073,Colorado,Lincoln,5675,1410264128,77804340,2612.586214,1759390.539,11.39039135,Very Low,29.6875,10.98731043,Very Low,28.125,1440614.748,912435.9728,NA,1.74785e-4,77.526602,184647676.2,517.6947535,6005259141,8604258.063,6198511075,0.4,1.26e-5,0.036468584,Relatively High,25913.758,2.29e-6,26.61540806,43.27733048,25983.65074,43.71619472,Very Low,1.84e-5,4.04e-10,5.56e-7,63.06076997,31473.03057,45.65701559,Very Low,56
C08075,Colorado,Logan,21526,4761879574,708744065,1863.541496,10479120.17,65.66974228,Relatively Low,79.6875,60.50758279,Relatively Low,78.125,7716520.207,3449352.913,NA,1.43553e-4,45.67026137,357192464.1,1486.791985,17246787023,66529091.31,17670508578,0.4,9.22354e-4,0.036468584,Relatively Low,15052.27483,1.39648e-4,1619.916015,789.9171743,17462.10802,37.13013045,Very Low,3.16e-6,6.49e-9,1.11e-6,49.69774101,17468.23659,35.88927776,Very Low,43
C08077,Colorado,Mesa,155647,28043980366,108039242,3374.802515,5823785.159,47.34330258,Very Low,71.875,47.38471062,Very Low,71.875,5060275.879,1990828.399,NA,0.00127399,32.8632151,2651028066,12415.91466,144000000000,30348274.58,147000000000,0.4,1.11e-6,5.9e-6,Relatively Low,1149363.845,1.32e-5,153.3161189,0.319263883,1149517.48,87.90964047,Relatively Moderate,4.1e-5,8.49e-11,2.96e-9,72.03308941,1068503.382,86.31880369,Relatively Moderate,608
C08081,Colorado,Moffat,13270,4182754729,38005853,4798.85142,2144818.893,15.24021635,Very Low,35.9375,13.80377592,Very Low,35.9375,1743366.096,1220038.764,NA,0.001776986,30.37644729,1405910112,2517.621561,29204410109,15549125.88,30625869347,0.4,1.29e-5,3.38e-6,Relatively High,1075382.709,5.28e-5,612.576338,0.090234173,1075995.375,87.33693923,Relatively Moderate,2.57099e-4,3.98e-9,2.37e-9,90.614063,1267343.993,87.27330576,Relatively Moderate,117
C08083,Colorado,Montezuma,25806,5935803280,53241372,2060.447303,2583395.067,19.34457525,Very Low,43.75,20.48901269,Very Low,48.4375,2292324.666,1461295.761,NA,0.001329197,47.8417534,2175775688,8544.60666,99117437261,14166961.43,101000000000,0.4,3.18e-6,9.05e-5,Relatively Moderate,1295413.757,3.83e-5,444.3484697,1.710421546,1295859.815,88.95959275,Relatively Moderate,2.18237e-4,1.48e-9,3.21e-8,89.1823099,1474771.578,88.60960865,Relatively Moderate,6
C08085,Colorado,Montrose,42636,8760733616,93163069,2265.489258,3194793.679,25.93063952,Very Low,53.125,25.59579078,Very Low,51.5625,2704908.869,536264.8263,NA,6.53119e-4,27.26434319,1090326814,4645.168425,53883953735,17558714.46,54991839263,0.4,4.83e-6,1.09913e-4,Relatively Low,262907.9605,1.12e-5,129.4367639,1.571768622,263038.9691,75.21476297,Relatively Low,3e-5,2.6200000000000003e-10,1.69e-8,68.34234808,274400.1086,73.94209354,Relatively Low,233
